Rk,Player,Tm,2021-22
1,Stephen Curry,GSW,"$45,780,966.00 "
2,John Wall,HOU,"$44,310,840.00 "
3,Russell Westbrook,LAL,"$44,211,146.00 "
4,James Harden,BRK,"$43,848,000.00 "
5,Damian Lillard,POR,"$43,750,000.00 "
6,LeBron James,LAL,"$41,180,544.00 "
7,Kevin Durant,BRK,"$40,918,900.00 "
8,Giannis Antetokounmpo,MIL,"$39,344,970.00 "
9,Paul George,LAC,"$39,344,970.00 "
10,Kawhi Leonard,LAC,"$39,344,900.00 "
11,Klay Thompson,GSW,"$37,980,720.00 "
12,Jimmy Butler,MIA,"$36,016,200.00 "
13,Tobias Harris,PHI,"$36,000,000.00 "
14,Khris Middleton,MIL,"$35,500,000.00 "
15,Anthony Davis,LAL,"$35,361,360.00 "
16,Rudy Gobert,UTA,"$35,344,828.00 "
17,Kyrie Irving,BRK,"$34,916,200.00 "
18,Bradley Beal,WAS,"$34,502,130.00 "
19,Kristaps Porzingis,DAL,"$31,650,600.00 "
20,Devin Booker,PHO,"$31,610,000.00 "
